GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1.1_1,1.0,-0.002738270814845172,-0.0027309680700152023,-0.003011318776496445,-0.002453943231854161,-0.016429624889071032,0.0,-0.003095449720288561,-0.0031244082057706605,-0.00327673433084586,-0.0029044033980956995,-0.01857269832173137,0.0,-0.002485311267399747,-0.0024859923077277164,-0.002665027419554641,-0.002376186757001668,-0.014911867604398481,0.0,-0.0012009299081796106,-0.0011923077228897985,-0.0013289001030718276,-0.001124366868600788,-0.007205579449077664,0.0,-0.0003678005688283262,-0.0003785243414742692,-0.00039022638679757517,-0.00032019144358611966,-0.002206803412969957,0.0,-0.00025428233290822983,-0.0002551723070239369,-0.00027805319397164615,-0.0002343894222102869,-0.0015256939974493788,0.0,-0.00015754485296331299,-0.00015621201705330368,-0.0001781498522344245,-0.0001332213520501451,-0.000945269117779878,0.0,-0.0002386757131176537,-0.00023220597971498365,-0.0002796089051265164,-0.00022247679370338637,-0.0014320542787059224,0.0,-0.00038473721373967457,-0.00038332657377642727,-0.00041378745949657776,-0.00036991604143354857,-0.002308423282438048,0.0,-0.0010814956631353264,-0.0010764034482958619,-0.0012607095773202336,-0.0009347233667645607,-0.00648897397881196,0.0,-0.0015543265766064071,-0.0015565184344686002,-0.001706725421778915,-0.0013680001772875651,-0.009325959459638442,0.0,-0.0034994876369687576,-0.0035280749663763687,-0.0035725010037751,-0.00340289168301515,-0.020996925821812548,0.0
ZWE.2.1_1,2.0,-0.003186171667583573,-0.003195424024029092,-0.0032168269172661557,-0.0031502933209314717,-0.02230320167308502,0.0,-0.003819573068036829,-0.003820996149117875,-0.0039087446632669045,-0.0037426127366588288,-0.0267370114762578,0.0,-0.003166303327285836,-0.003154873202707183,-0.0032928293007786586,-0.003049330503295151,-0.022164123291000853,0.0,-0.002196952328788924,-0.0021926280692472827,-0.00235483113037386,-0.0020955086329695802,-0.015378666301522466,0.0,-0.0008964504935160264,-0.0008842524115447724,-0.0009968467598017422,-0.000841336151528147,-0.006275153454612184,0.0,-0.0005675358738510043,-0.0005763532514969883,-0.0005949975887231247,-0.0005290336878552901,-0.00397275111695703,0.0,-0.00041134289952848456,-0.0004100952039593183,-0.00045059013664171737,-0.0003734736619753695,-0.0028794002966993928,0.0,-0.0004516736446778184,-0.0004503211915465087,-0.0004986686056077866,-0.00041662404377055233,-0.003161715512744729,0.0,-0.0004412613652409635,-0.0004371400771173728,-0.0005034163052598041,-0.00039516462850976207,-0.003088829556686745,0.0,-0.0020862208456239087,-0.002075427482844638,-0.0022024449949320925,-0.0019357980937642,-0.014603545919367363,0.0,-0.0017744625183762981,-0.001730750039713476,-0.0019655259918739585,-0.0016339599457299329,-0.012421237628634087,0.0,-0.003408115551675313,-0.0034027733565807827,-0.0034829759902452488,-0.003348651766026511,-0.0238568088617272,0.0
ZWE.3.1_1,3.0,-0.0030704116879330928,-0.003027324638352537,-0.003494285779844985,-0.0026766778240722125,-0.13816852595698914,0.0,-0.003552767679690045,-0.0035351104268359908,-0.0038278245312467077,-0.003271366307933151,-0.15987454558605205,0.0,-0.0022848389403965124,-0.0020994730061290653,-0.003216146947746487,-0.0017395741408462446,-0.10281775231784306,0.0,-0.0014117704101757368,-0.0011875266120847509,-0.0024296226718169764,-0.0008985082945559204,-0.06352966845790815,0.0,-0.0004426331455050409,-0.00035824257033929537,-0.00096703523425481,-0.00016621325012274667,-0.01991849154772684,0.0,-0.0005302574416990971,-0.0005254234477757487,-0.0007888257304512179,-0.00030828739611408,-0.02386158487645937,0.0,-0.00028130238173054207,-0.00024376724961585849,-0.0005182519191621455,-0.00012314537458648373,-0.012658607177874393,0.0,-0.0004039301346233401,-0.00035631731051283114,-0.0007325054633475409,-0.00021714025086550363,-0.018176856058050302,0.0,-0.00045854539874967313,-0.0003944654687604089,-0.0008772096650554767,-0.00024285695166553325,-0.020634542943735287,0.0,-0.0010606738139679237,-0.0010389022109143652,-0.001418691073813159,-0.0007150576944533305,-0.04773032162855657,0.0,-0.0014440757993894606,-0.0014393146313243135,-0.0019368350338516095,-0.0009366276354721528,-0.06498341097252572,0.0,-0.003640058059902172,-0.003640434278445641,-0.003822378974412023,-0.0034904735180322365,-0.16380261269559773,0.0
ZWE.3.2_1,4.0,-0.003576047962543845,-0.0034487417052563693,-0.004449543050380595,-0.0029656329568164275,-0.10370539091377153,0.0,-0.00402930968113792,-0.0041172934144921465,-0.00436745603389844,-0.0033563616776985995,-0.11684998075299965,0.0,-0.003092037575976459,-0.0030597012666523397,-0.004132419657257186,-0.0016964958374546591,-0.08966908970331731,0.0,-0.0021877600393522146,-0.002163613051927596,-0.003469742709197049,-0.0009885898706117793,-0.06344504114121423,0.0,-0.000999880883057894,-0.0007968626390798231,-0.002233162585824466,-0.00020118497610151155,-0.028996545608678925,0.0,-0.0007402924283671876,-0.000588529262311943,-0.0014882434790936322,-0.00026855954950932056,-0.021468480422648442,0.0,-0.0005605623404256031,-0.0004061209657430047,-0.0013618056302365255,-0.00012800893661315984,-0.01625630787234249,0.0,-0.0007749004689034643,-0.0006025774474869293,-0.0017676592520364613,-0.00021644170431495908,-0.022472113598200463,0.0,-0.0009102174852341939,-0.0006381294559088204,-0.0025709836281429524,-0.00020057839734983647,-0.026396307071791626,0.0,-0.0017219759769630384,-0.0015841276873522466,-0.002989751379727638,-0.0007688846176909599,-0.049937303331928126,0.0,-0.0022864684843234328,-0.002163249887951605,-0.0037846822738351773,-0.0009817758245065232,-0.06630758604537955,0.0,-0.003866628273884472,-0.003839332261649496,-0.004110511109742641,-0.003666619213138096,-0.11213221994264967,0.0
ZWE.3.3_1,5.0,-0.003346754130608948,-0.0031220348411737,-0.004369631168922921,-0.0028273059077965693,-0.14391042761618478,0.0,-0.0037890918549690665,-0.003798738363650205,-0.0044178729917144785,-0.003098670957574392,-0.16293094976366987,0.0,-0.0025247854663333377,-0.0025181447626663237,-0.004085500995323049,-0.0009803748836289383,-0.10856577505233353,0.0,-0.0019667193256372915,-0.0017223603234789832,-0.003408711848649827,-0.0009885455862861106,-0.08456893100240354,0.0,-0.0006983270741261086,-0.00046996059049103406,-0.001985662191225093,-0.00017684680535862048,-0.030028064187422668,0.0,-0.0006952802190281392,-0.0005349550125663413,-0.001418401067655308,-0.0003878280185487424,-0.029897049418209993,0.0,-0.00045709616438539504,-0.00030876125798877797,-0.0012647733025725086,-0.00017188757932596918,-0.019655135068571986,0.0,-0.0006901287822557238,-0.0005370260092371346,-0.001646065144134583,-0.0003804392421018072,-0.029675537636996117,0.0,-0.0008231542099338122,-0.0005415156842070136,-0.002415757773151023,-0.0004165598212747572,-0.03539563102715392,0.0,-0.0012818474285399984,-0.0011301626264680071,-0.002511194642158169,-0.0007409107856816856,-0.055119439427219946,0.0,-0.002054420797205809,-0.0017072805917195445,-0.003515889443388653,-0.001295217352521777,-0.08834009427984979,0.0,-0.0039769639261264715,-0.00395838138272923,-0.004117662116409086,-0.0037731139385872602,-0.17100944882343833,0.0
ZWE.3.4_1,6.0,-0.0029754579380825204,-0.003038483168168633,-0.003368243535403861,-0.002400975398323676,-0.19340476597536385,0.0,-0.003660594389765717,-0.003676297093062603,-0.0038170673239821405,-0.0034102265280343594,-0.2379386353347716,0.0,-0.002993723658123245,-0.0030755180712447065,-0.0035920401169894484,-0.0017773839021337004,-0.19459203777801096,0.0,-0.001871162160615198,-0.0019347218307910813,-0.002525142407721477,-0.0008423116619255543,-0.12162554043998787,0.0,-0.0007774624658722241,-0.0007927988880108936,-0.0012761725742543911,-0.00014673956385263183,-0.05053506028169456,0.0,-0.0005538887709243712,-0.0005926663900160525,-0.0007770002749891557,-0.00033108489051129317,-0.036002770110084126,0.0,-0.00039892096178183146,-0.0004231321017069103,-0.0005801453281960581,-0.00012458066202764278,-0.025929862515819045,0.0,-0.0004684842101742238,-0.00047481702002391736,-0.0006804366549821339,-0.0002676817350598188,-0.03045147366132456,0.0,-0.00047573490203030273,-0.00048073119677669306,-0.000716421058484307,-0.00017683516349921015,-0.03092276863196968,0.0,-0.0019104347537156007,-0.0020603353780739146,-0.002565519167884561,-0.0010125084371097868,-0.12417825899151408,0.0,-0.001491058999830885,-0.0016170855976939324,-0.002089764970646257,-0.0006347813672117938,-0.09691883498900752,0.0,-0.003536513474687427,-0.0035354863491978725,-0.0038140021391997797,-0.0033144403605423643,-0.2298733758546828,0.0
ZWE.3.5_1,7.0,-0.0027859774843389173,-0.002800744084329489,-0.0034543588289379147,-0.002238561866884718,-0.1281549642795902,0.0,-0.0035485507327586018,-0.0035045012506219712,-0.004038269497050778,-0.0032797398354841327,-0.1632333337068957,0.0,-0.00219350593169287,-0.002018146290388147,-0.0032782356000972844,-0.0016867523368556134,-0.10090127285787204,0.0,-0.0012163341894537198,-0.00109149864995029,-0.0022362133697566774,-0.0008361148023387786,-0.05595137271487111,0.0,-0.0003422744168879359,-0.0002897861869019377,-0.000898883741426449,-0.00015068485555663918,-0.015744623176845052,0.0,-0.0004696527631599797,-0.00045291317193146434,-0.000793567015867776,-0.000292598082408864,-0.021604027105359063,0.0,-0.00023009487539801495,-0.00020635318939506798,-0.0005198714159408291,-0.00011342322225931782,-0.01058436426830869,0.0,-0.00034808883978359724,-0.00030880798571228927,-0.0008542562433590188,-0.00020376488338759132,-0.016012086630045472,0.0,-0.0003140448364734226,-0.00025836060253027737,-0.0009466900778217113,-0.00015677000686141614,-0.01444606247777744,0.0,-0.0013365880436230044,-0.0013330618085049036,-0.0018470859392835355,-0.0008081809406639182,-0.06148305000665823,0.0,-0.0013873607908514356,-0.0014044800087522054,-0.001748700781531297,-0.0009661169671060356,-0.06381859637916604,0.0,-0.003636762979746607,-0.003632111581446643,-0.003811495727980383,-0.003427444695838766,-0.1672910970683439,0.0
ZWE.3.6_1,8.0,-0.0037504153197938928,-0.003773113941939515,-0.0043397992431633,-0.0029212075601169865,-0.08250913703546565,0.0,-0.003984172490552313,-0.003957135049018653,-0.004237432683988057,-0.0037929951502129983,-0.08765179479215089,0.0,-0.0035412157278935383,-0.003613742363893132,-0.0038617005031700616,-0.002890406909361892,-0.07790674601365784,0.0,-0.002721882171447057,-0.0028004014699006307,-0.003225572725233953,-0.00163266649140469,-0.05988140777183525,0.0,-0.0014725248457409378,-0.0015956215910658505,-0.0018525509477280008,-0.0005067697880945788,-0.03239554660630063,0.0,-0.0011070381526149511,-0.00117876813574518,-0.0014355098224484964,-0.0005998468680954997,-0.02435483935752893,0.0,-0.0009564496162421832,-0.0010219857407590435,-0.0013782248345987976,-0.00032665794481097815,-0.021041891557328028,0.0,-0.001353014091383174,-0.0013819489086278,-0.002064785823954023,-0.0004397374143808017,-0.029766310010429824,0.0,-0.0015675579876424373,-0.0015732225900108947,-0.002564330314147442,-0.00045268153004331867,-0.03448627572813362,0.0,-0.002316881089472027,-0.002349032692654211,-0.00276389330122776,-0.0016367610246038567,-0.05097138396838459,0.0,-0.002520292643542895,-0.0026411005721817303,-0.0030196948947559515,-0.0015483707844819534,-0.055446438157943666,0.0,-0.0036644189064331156,-0.003644260749298414,-0.003856721808077053,-0.003459131929858488,-0.08061721594152854,0.0
ZWE.3.7_1,9.0,-0.003440201262192966,-0.003391359937656485,-0.0038441040032518212,-0.003046617930362491,-0.1616894593230694,0.0,-0.003778689667658619,-0.0037619701288558217,-0.004044959403760125,-0.00364656215287906,-0.17759841437995508,0.0,-0.0033403599574302525,-0.003341841146786119,-0.0037001698316573477,-0.0030870041951293827,-0.15699691799922186,0.0,-0.0022274745683795237,-0.002254136384252795,-0.0029039704007854344,-0.0013527358497703265,-0.1046913047138376,0.0,-0.0010721366786538183,-0.0009971039381741571,-0.0016929962971092428,-0.0005083674977287781,-0.050390423896729465,0.0,-0.0006207191702156245,-0.0005322679159634979,-0.0011758272990408155,-0.00029674660233195045,-0.02917380100013435,0.0,-0.0005209036702403054,-0.00042372326383839886,-0.0010548804637612204,-0.00021584065577666278,-0.02448247250129435,0.0,-0.000687730842793847,-0.0005491101582044828,-0.001530255404713771,-0.00022079269861505302,-0.032323349611310816,0.0,-0.000737898903411837,-0.0005699543168366497,-0.0018004853573175496,-0.0001813018696665144,-0.034681248460356334,0.0,-0.001361360672664928,-0.001220691680032625,-0.0024431444015305405,-0.0004999344835048521,-0.06398395161525162,0.0,-0.0013482485268352805,-0.001166477056605673,-0.002785062701986037,-0.0003554806687670496,-0.06336768076125818,0.0,-0.0035687130852672696,-0.0035497631449866174,-0.003748028549712615,-0.003376131121324166,-0.16772951500756167,0.0
ZWE.4.1_1,10.0,-0.0032333352088574603,-0.003232490260875664,-0.00343082682029478,-0.003120656545755755,-0.06790003938600668,0.0,-0.0036803222394762867,-0.003687717744856111,-0.003840192289620308,-0.003466354997242279,-0.07728676702900203,0.0,-0.0033790952612792412,-0.003330876175705764,-0.0036447134797266576,-0.0031635427014667372,-0.07096100048686406,0.0,-0.0020739261851607073,-0.002088327720455401,-0.002342509251311127,-0.0017312341915081007,-0.04355244988837485,0.0,-0.0009419064182500336,-0.0009000948008804297,-0.0012561410720167087,-0.0007412099252242562,-0.01978003478325071,0.0,-0.0006437415527479433,-0.0006161818641191379,-0.0008537711868347301,-0.0005469667895538686,-0.013518572607706813,0.0,-0.00046401805804301854,-0.00043930880754207457,-0.0007128741884867273,-0.0003520237646810378,-0.009744379218903393,0.0,-0.000457074810556828,-0.00042420795294065,-0.0007429411198918493,-0.00034082086196956374,-0.009598571021693387,0.0,-0.000493656702507127,-0.0004552488174551432,-0.0008297516973081149,-0.00035587681974212106,-0.010366790752649669,0.0,-0.0013350127853623214,-0.0013466556716927784,-0.0018020249337419453,-0.0010621884913773509,-0.028035268492608748,0.0,-0.0011559038490466073,-0.0011574615672740195,-0.001397458774081323,-0.0009737855406601752,-0.02427398082997874,0.0,-0.0034009427081547953,-0.0033988855282290386,-0.0035429433437734774,-0.003291455965769544,-0.0714197968712507,0.0
