GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1.1_1,1.0,0.003254924742526059,0.0031999539010631123,0.0028509026074144193,0.003633077787938532,0.019529548455156358,0.0,0.005096182499529181,0.005075311517968785,0.0048448883865843465,0.005399931215416172,0.03057709499717508,0.0,0.0012356921347486613,0.001236978844655815,0.0011862511620016364,0.0012827322091385539,0.007414152808491969,0.0,0.0005239365158155149,0.0005224950149248102,0.00042858956614886563,0.0006317790858971463,0.003143619094893089,0.0,1.5439212977920743e-06,1.3076347038644272e-06,5.809529284306336e-07,3.09027745981698e-06,9.263527786752447e-06,0.0,9.46951548197386e-05,9.1627548311431e-05,4.8914210478464505e-05,0.0001344723792496784,0.0005681709289184318,0.0,1.1092568775666864e-05,1.1034653690957914e-05,9.92252837042774e-06,1.2651863011406387e-05,6.655541265400118e-05,0.0,0.0002783442164937881,0.000276552616690367,0.000248277011248125,0.00033029397781653814,0.0016700652989627286,0.0,0.00017213634976299895,0.00015784479600018057,8.618868530535314e-05,0.00026037124000092453,0.0010328180985779937,0.0,0.0009407756471604576,0.0009381955731230443,0.0007996318477273787,0.001099633062809274,0.005644653882962746,0.0,0.0026304925535415324,0.002567114774348139,0.0022633673367418628,0.0030536153639063607,0.015782955321249195,0.0,0.011120200059173795,0.011025913840668786,0.010913643805859723,0.011709479890304166,0.06672120035504278,0.0
ZWE.2.1_1,2.0,0.007118709532449578,0.007227997506250546,0.006583505060211647,0.007462316191939089,0.04983096672714705,0.0,0.006222069733537448,0.006100225303760335,0.005702450593664693,0.006954995646601988,0.04355448813476213,0.0,0.0007523873662755066,0.0007526374035740485,0.000606427804176445,0.0008907796875495377,0.005266711563928546,0.0,0.0009857076434699075,0.0009693023879007301,0.0008427398852267825,0.0012062394362774946,0.006899953504289354,0.0,1.0518559257265506e-05,1.0353791263947372e-05,7.560672888651898e-06,1.3580497606570936e-05,7.362991480085854e-05,0.0,0.0001656386338960909,0.00016373100263875046,0.0001311554980050371,0.00020839739126124053,0.0011594704372726366,0.0,1.4910954597218482e-05,1.354390051666071e-05,9.296116820981728e-06,2.0186632745690078e-05,0.00010437668218052936,0.0,5.2475643088463064e-05,5.140226775846793e-05,4.828791464103687e-05,5.86160395433584e-05,0.00036732950161924143,0.0,2.410069947269076e-05,2.3926056389748225e-05,1.506906699946994e-05,3.305815534449112e-05,0.00016870489630883533,0.0,0.0020770190890248338,0.002073998197295113,0.0019538233959173253,0.0022380852675207372,0.01453913362317384,0.0,0.0019779139770479807,0.00195524623886987,0.0017928304770871472,0.0022239598759206877,0.013845397839335869,0.0,0.006507423965031228,0.006414117911870682,0.0062979846734338785,0.0067155996059020465,0.04555196775521859,0.0
ZWE.3.1_1,3.0,0.004073464949767633,0.003803431153613955,0.003454390228918121,0.005455092273581372,0.1833059227395435,0.0,0.0040397232263856215,0.003835994916062379,0.0028743208523940808,0.005864046415857847,0.18178754518735304,0.0,0.0008354173266350482,0.0007860395771041536,0.0005064171211487788,0.0011856349324920346,0.03759377969857717,0.0,0.0008567994265641825,0.0007307656507885246,0.0006439219438482589,0.0014829185278478262,0.03855597419538821,0.0,1.5766368475259454e-05,1.6378535030150905e-05,8.811970864294016e-06,2.360020393737661e-05,0.0007094865813866755,0.0,0.0003762778179762337,0.0003761450196932233,0.00019768395529329267,0.0005173210244136027,0.016932501808930522,0.0,4.004678018645292e-05,3.887680306164056e-05,2.1097965489506986e-05,6.69488868913732e-05,0.0018021051083903813,0.0,0.0001983085694250918,0.0001967581334265308,9.575925957864906e-05,0.00030545385253020183,0.008923885624129132,0.0,0.00017755152169193438,0.00015387289295479804,6.878311886234246e-05,0.0003754405279230478,0.007989818476137047,0.0,0.0008605632402584264,0.0008361772646748026,0.0005461392872881236,0.0012345794790948395,0.03872534581162919,0.0,0.002492835123425891,0.002501332823688956,0.00176940800592445,0.00332788703291824,0.11217758055416507,0.0,0.009251085448909792,0.009040310517611424,0.005956082619280379,0.013300494736881458,0.4162988452009406,0.0
ZWE.3.2_1,4.0,0.005795714034588943,0.005424976408554525,0.004042758543491345,0.008352944077663422,0.16807570700307936,0.0,0.006175078474335876,0.005788354247933418,0.0025950536081599425,0.00954781554429858,0.1790772757557404,0.0,0.00119443918540435,0.0010903644536437663,0.0005954978422875745,0.0019358016736824941,0.034638736376726154,0.0,0.001601708922077484,0.0013788939781802171,0.0006615944377801758,0.003287703280166461,0.04644955874024704,0.0,8.348898816350374e-05,6.918395075672239e-05,1.818487921376408e-05,0.00020538388938512185,0.002421180656741608,0.0,0.0004985627698634777,0.00037949997658605177,0.00017614602258925449,0.0012414501789805301,0.014458320326040847,0.0,0.0001697613259730232,0.00011889878810531888,3.5856786522244845e-05,0.0004490877527614238,0.004923078453217673,0.0,0.0004205238203076964,0.0002941372913290404,0.00011609043446243987,0.0012590778860408387,0.012195190788923194,0.0,0.00045927831356142317,0.0002693495482066242,5.9316351110660815e-05,0.0017470384654779186,0.013319071093281277,0.0,0.0014806606908990966,0.0014616241671701145,0.0005468006320699778,0.002592327370989929,0.0429391600360738,0.0,0.0038371069894927866,0.0034597337993185944,0.0016307755738659818,0.00641670221947026,0.1112761026952908,0.0,0.01050280294542192,0.010310892170783596,0.0065336568753709395,0.015352545764658538,0.3045812854172357,0.0
ZWE.3.3_1,5.0,0.004700167363986753,0.004227631337076618,0.0028413009812399137,0.007732733416229155,0.2021071966514304,0.0,0.005116256521932449,0.00479125562375481,0.0025100318573238857,0.009134446489182558,0.2199990304430953,0.0,0.0006877825321175874,0.0005257580433891596,0.00035959059033401715,0.001524178030259648,0.029574648881056258,0.0,0.0014267921343082304,0.0011564641022061845,0.000750499058194246,0.003009715761253975,0.06135206177525392,0.0,5.447153597939817e-05,5.054258727749356e-05,1.73461699132005e-05,0.00011602574859529558,0.002342276047114121,0.0,0.0005353946306566918,0.00037740967010424986,0.0002735853754228753,0.0012259916545364511,0.02302196911823775,0.0,0.00015156830616378417,0.00012592945157633158,5.3596752477756e-05,0.0003823244626991065,0.00651743716504272,0.0,0.000466713475637275,0.000454627369877043,0.00017880484203341968,0.0011926312248221173,0.020068679452402826,0.0,0.00048636240656617976,0.0003987980959296854,0.00011581147773075259,0.0016099603477527727,0.020913583482345732,0.0,0.0009792469477580565,0.0009627990481254595,0.0005071080635192012,0.001847506507676279,0.042107618753596435,0.0,0.003945428551121975,0.0035834489938416244,0.0025306830110689914,0.006217029190410077,0.16965342769824493,0.0,0.009492706732968013,0.008929806581584104,0.006715376989561848,0.014580441922331263,0.4081863895176245,0.0
ZWE.3.4_1,6.0,0.004251291820990897,0.0040357192442473456,0.003060154122322189,0.006970338724676341,0.2763339683644083,0.0,0.008387527126438645,0.008508641169694938,0.003514310368062001,0.011932645871414687,0.5451892632185119,0.0,0.0005854691764161936,0.0006405309442560504,0.00012832103098612966,0.0010829836092097276,0.03805549646705258,0.0,0.0008551029829844023,0.0008323985338481508,0.0006379182878536218,0.0012269666457380881,0.055581693893986144,0.0,2.6757587341654785e-05,2.5759939147492787e-05,6.9814277756667575e-06,5.8594844617140186e-05,0.0017392431772075608,0.0,0.0002310106137679816,0.00019276433198745182,4.09494280928131e-05,0.0005608402090463091,0.015015689894918803,0.0,5.264385306638734e-05,4.919265654584883e-05,1.7898383687663957e-05,0.00011490592475463616,0.003421850449315177,0.0,8.355646906526536e-05,7.549109943921737e-05,1.17243827079256e-05,0.00025848738603814064,0.0054311704892422465,0.0,8.688312540975074e-05,8.479447436209506e-05,3.479595532337528e-05,0.00016304240223295242,0.005647403151633798,0.0,0.0019279862643452653,0.0020110295147817213,0.0008803627300700812,0.002743905598682737,0.12531910718244227,0.0,0.0020600401301446762,0.0021801227181828253,0.0005884541046127783,0.003208577316359282,0.13390260845940394,0.0,0.009343815685132987,0.009518883499311195,0.005286170955835882,0.013202534424208698,0.6073480195336443,0.0
ZWE.3.5_1,7.0,0.0039137212959582685,0.0039761784188786726,0.002796551431427395,0.005036497197869375,0.18003117961408038,0.0,0.0039517424215605714,0.003651787924316401,0.0025712240985704482,0.006730440081366082,0.18178015139178624,0.0,0.0008081908829396616,0.000814785694281466,0.0006464877136032347,0.000964961517025641,0.03717678061522443,0.0,0.0007581488137347988,0.0007300745447344281,0.0006316190588821548,0.0012661387540028948,0.034874845431800736,0.0,4.55544467903914e-05,3.8678380881197605e-05,1.8829719978154087e-05,0.00012064438738943552,0.0020955045523580037,0.0,0.0003808376628387812,0.00037503278724505015,0.00022348083373192445,0.0005208157206835841,0.017518532490583934,0.0,5.688908061172686e-05,5.2870803933453886e-05,2.109252882655233e-05,0.00015733972372109582,0.002616897708139435,0.0,0.00018382796686044385,0.00017277357554514532,9.056087556422816e-05,0.0005256848618104942,0.008456086475580415,0.0,0.00012884815097961508,9.90209573998418e-05,4.47161546761575e-05,0.0005449277994938231,0.005927014945062296,0.0,0.0013227706067099072,0.0013620142238286786,0.0007453020025143803,0.0016904359603688481,0.060847447908655726,0.0,0.002029505735181023,0.0020353115787213267,0.0016215706642122546,0.002351031990033588,0.09335726381832704,0.0,0.008714057235801171,0.008615119470768205,0.006208621746160718,0.0120656335563576,0.40084663284685385,0.0
ZWE.3.6_1,8.0,0.007274046527957661,0.007254277183380939,0.003962405635379551,0.010837681760697907,0.16002902361506854,0.0,0.009441814139682857,0.00944509369619245,0.005557064173120187,0.01396540990237307,0.20771991107302287,0.0,0.0010924651403610717,0.0010168028186877624,0.0007199831878677692,0.001682180599244658,0.024034233087943568,0.0,0.0017003754138317532,0.001740924889053959,0.0009195364215044267,0.002442657779780604,0.03740825910429857,0.0,0.0001395060618967476,0.00012341739067975646,5.868675459835139e-05,0.0002764326552630067,0.003069133361728447,0.0,0.0006735273302752668,0.0006359777996352107,0.0002148037786158565,0.001139581249179107,0.014817601266055868,0.0,0.0003325347634173886,0.00031815932839302804,8.954932063633131e-05,0.000662925748046184,0.00731576479518255,0.0,0.0008090580474799491,0.0006739629834456273,0.0001497358199375488,0.0018100298807692714,0.01779927704455888,0.0,0.0007182271323703457,0.0006161954868334282,0.00020317868345946595,0.0014823479551209307,0.01580099691214761,0.0,0.0018964739750047255,0.0018459632610341285,0.0016146329887828062,0.002233822485884163,0.04172242745010395,0.0,0.003068094751823464,0.003175520825162527,0.002212786443054521,0.003571986984689937,0.0674980845401162,0.0,0.01359441179797613,0.013851115126678205,0.010356502032819927,0.015107267411558259,0.2990770595554749,0.0
ZWE.3.7_1,9.0,0.006440680864536638,0.0063709357076118175,0.004220597540740291,0.00889169447651292,0.30271200063322196,0.0,0.01296243459016738,0.012775218862587137,0.00891571057784072,0.016897240826841478,0.6092344257378668,0.0,0.0004188600863796293,0.00032562894921799013,0.00017370349022388152,0.001113610899581185,0.019686424059842576,0.0,0.0010158579236134026,0.0009385016703604633,0.00016613743623612677,0.002114530341106867,0.04774532240982992,0.0,4.937502196094626e-05,4.1983213305268455e-05,2.8280581643339423e-06,0.0001536721049344712,0.002320626032164475,0.0,0.0001377934589341203,7.431846176016192e-05,3.271426928116544e-05,0.0006189334922125688,0.006476292569903654,0.0,0.00010889139450255864,7.721927452025364e-05,1.9041371236733208e-05,0.0003607918405222287,0.005117895541620256,0.0,0.0002008158717788456,0.00010775031126827343,2.11377985248202e-05,0.000878786200000763,0.009438345973605744,0.0,0.00023338970525858745,0.00014261696453350445,1.904596893814094e-05,0.0008891584860108756,0.010969316147153609,0.0,0.0010617121423332435,0.0009465681640872707,0.0003654383493779256,0.0019763668639310003,0.04990047068966245,0.0,0.0014578759517618815,0.0012094508027187321,0.0002364994914159311,0.003539263064290993,0.06852016973280843,0.0,0.008656065721191536,0.007336586131621159,0.005038487804013772,0.015115005373349387,0.4068350888960022,0.0
ZWE.4.1_1,10.0,0.006303978663473174,0.006230417690565547,0.005742762965330327,0.007244954526920687,0.13238355193293666,0.0,0.007988158105650945,0.00819863079356767,0.006902487118084849,0.008718839611491353,0.16775132021866984,0.0,0.00040718794341173495,0.00041498513437211135,0.0002645108989205475,0.0005204169353270635,0.008550946811646434,0.0,0.0005083573675843744,0.0004983934567769593,0.00036397223919601017,0.0006729416575749872,0.01067550471927186,0.0,7.206673530206807e-06,6.734425697860202e-06,5.5849952144212825e-06,1.1037304479777582e-05,0.00015134014413434297,0.0,0.0002167824721015464,0.00021141696425586534,0.00016213385428866473,0.00026977576963219336,0.004552431914132475,0.0,2.88536332842777e-05,2.6625142990935505e-05,1.7714326923246433e-05,4.542536759185039e-05,0.0006059262989698318,0.0,2.7807098089669488e-05,2.578689811090316e-05,1.790109254556776e-05,4.469107270785649e-05,0.0005839490598830593,0.0,5.678681139567766e-05,4.801495233825786e-05,2.997695316497116e-05,9.419189367863646e-05,0.0011925230393092304,0.0,0.0010859595126444534,0.001054527536016908,0.000874808366999113,0.0016818997435714715,0.022805149765533515,0.0,0.001114216562345055,0.0010961750838431145,0.0009272543440696043,0.0014063338476766481,0.023398547809246155,0.0,0.007862686583803733,0.0071021665700426685,0.006561849630629376,0.010316847109364466,0.1651164182598784,0.0
