GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1.1_1,1.0,86783.37132322464,86760.89067804077,86331.89882482479,87208.85945587362,520700.2279393478,0.0,86895.1916016972,86872.77966905857,86441.56663334301,87322.82659117477,521371.1496101832,0.0,87017.5341620271,86995.04284714197,86562.61840122267,87446.67316951425,522105.20497216255,0.0,87155.0145757008,87132.60257744399,86697.99833697871,87585.73526593103,522930.08745420474,0.0,87412.26373307133,87389.63189522462,86948.82688346907,87848.8357900953,524473.5823984279,0.0,87490.59274333908,87467.47072508218,87021.89679872117,87932.07814505388,524943.5564600346,0.0,87521.56905133663,87498.2752441153,87052.89460451415,87962.50576485465,525129.4143080198,0.0,87208.74560087321,87185.64693404463,86745.87511573693,87644.0906133833,523252.4736052393,0.0,87156.02458486673,87132.66918129742,86698.83747268088,87584.90628068954,522936.1475092003,0.0,87002.0841132765,86978.98226455145,86550.29481538481,87425.02261961259,522012.504679659,0.0,86867.25191891615,86845.08302321861,86414.96521651218,87292.80187178464,521203.51151349687,0.0,86763.06802879185,86740.6874643265,86305.6583460712,87194.06197052656,520578.4081727512,0.0
ZWE.2.1_1,2.0,85470.84835770237,85506.14822364549,85075.09592545808,85790.74007505208,598295.9385039166,0.0,85584.10622513968,85619.03970695328,85188.00394127867,85903.44713429295,599088.7435759776,0.0,85676.93187356493,85712.10613311808,85279.51968658878,85997.77428399405,599738.5231149546,0.0,85834.85908096457,85870.48006597943,85435.55255545648,86157.42515651135,600844.0135667521,0.0,86053.2186140022,86089.08008024082,85648.07150825988,86380.57536594414,602372.5302980153,0.0,86110.66659456727,86147.52880811611,85700.93806806779,86442.26341525729,602774.6661619709,0.0,86125.03087635661,86162.1568792688,85714.47851358603,86456.93879498575,602875.2161344964,0.0,85894.34200586031,85929.95782857294,85492.02377277173,86218.04313542577,601260.394041022,0.0,85836.15946834742,85870.77669231848,85437.89096671135,86155.79156265204,600853.1162784321,0.0,85727.42636271454,85761.61865823032,85333.13386597055,86043.76935334867,600091.9845390018,0.0,85590.18445222818,85624.70170467389,85198.73010096069,85904.7456525614,599131.2911655973,0.0,85504.52668519331,85539.48799117506,85108.96947434572,85823.55590574842,598531.6867963532,0.0
ZWE.3.1_1,3.0,91104.4573102512,91115.93408618636,87500.72481526787,94556.29302923924,4099700.578961304,0.0,91232.424667595,91244.3758571481,87617.34150143169,94695.67786341127,4105459.110041775,0.0,91362.25190913693,91372.94943530476,87735.33517877095,94841.54592137734,4111301.3359111617,0.0,91538.78807555207,91549.10088358422,87890.90615933003,95040.55063486852,4119245.4633998433,0.0,91835.21200968172,91846.32026407922,88142.88268397973,95379.8658444084,4132584.540435677,0.0,91971.16528539428,91981.64863584656,88234.88657134227,95557.85163027195,4138702.437842742,0.0,92011.43867687482,92022.2211047357,88262.93925579338,95608.9817693706,4140514.740459368,0.0,91655.55567384553,91667.27834415033,87965.311171586,95196.56576296737,4124500.0053230487,0.0,91596.58810313998,91607.7748478602,87926.17390025973,95115.31851088273,4121846.464641298,0.0,91428.53703676477,91441.91054498943,87784.39843428964,94914.79960745217,4114284.1666544136,0.0,91218.62563324174,91230.53781758764,87615.06930116506,94670.40312940381,4104838.153495878,0.0,91117.1371839318,91129.59550129382,87504.27921639138,94580.5742018446,4100271.17327693,0.0
ZWE.3.2_1,4.0,89114.7947776628,88093.30187356481,86509.60824326678,93656.66229106957,2584329.048552221,0.0,89237.70002930568,88210.81698636533,86624.99764795188,93795.82440977637,2587893.3008498647,0.0,89350.15870517492,88322.18519434928,86722.96866430008,93931.77300586992,2591154.602450072,0.0,89519.43606496086,88481.23802726144,86874.91491745907,94131.079656503,2596063.6458838647,0.0,89785.95361797076,88734.01831350905,87106.21063215517,94460.94041427736,2603792.6549211517,0.0,89892.00715539521,88830.72330997436,87178.66105739058,94626.07079625268,2606868.207506461,0.0,89931.37918425805,88866.11893507976,87213.6242934737,94673.7217791398,2608009.996343483,0.0,89620.60515046504,88563.0339866835,86953.47019531883,94281.0233294276,2598997.549363486,0.0,89582.15821377082,88535.8214938126,86938.16713423186,94200.72442317405,2597882.5881993542,0.0,89439.76694135963,88396.13637547412,86819.6343328607,94013.84999643057,2593753.2412994285,0.0,89248.99007299193,88218.76774756832,86653.086217762,93778.51801151618,2588220.712116766,0.0,89128.1524101793,88096.54515598044,86515.14332897232,93685.88738246878,2584716.4198952005,0.0
ZWE.3.3_1,5.0,93901.02085684183,93850.33916200683,89064.82828133515,98114.98314359317,4037743.896844199,0.0,94027.78656042939,93974.57428315314,89182.57498957026,98251.05513324363,4043194.822098464,0.0,94166.7250775695,94115.32622769957,89299.94995012553,98400.12877085687,4049169.178335489,0.0,94358.3351010296,94303.90444043744,89461.9535032334,98619.7805188156,4057408.4093442718,0.0,94680.26745459066,94623.64944828037,89727.16163394383,98990.18909845564,4071251.500547399,0.0,94847.06673059832,94789.98695571258,89832.61954304815,99207.99305296574,4078423.869415728,0.0,94903.67511342707,94846.25959485443,89873.90068548844,99281.88655584485,4080858.0298773637,0.0,94506.66049200724,94447.90508430506,89558.85405359745,98828.03060798232,4063786.401156312,0.0,94455.2240959555,94399.2771651256,89528.22677229016,98768.8280337688,4061574.636126087,0.0,94270.75935228069,94216.1543436824,89383.23378771564,98559.81175477039,4053642.652148069,0.0,94017.19166514107,93963.91404386927,89193.04873949854,98234.9942193117,4042739.241601066,0.0,93915.95506988165,93859.39855514363,89067.55991001727,98155.97416888304,4038386.06800491,0.0
ZWE.3.4_1,6.0,87060.76487521517,86898.62953846889,83824.23719559952,91042.67397635539,5658949.7168889865,0.0,87187.15163680624,87022.49804416197,83942.71650378853,91171.51855676805,5667164.856392406,0.0,87282.3541147511,87124.52437061835,84022.83188605442,91296.95928130196,5673353.017458823,0.0,87448.56497187438,87287.87528980315,84175.26175088099,91477.05118012996,5684156.723171835,0.0,87689.22579018878,87530.22872378654,84371.97108517824,91775.1932095372,5699799.676362271,0.0,87766.21078116719,87607.31618876381,84413.42709163253,91909.95765513496,5704803.700775867,0.0,87790.50423522122,87631.03688148562,84426.73946539732,91949.05194846216,5706382.775289379,0.0,87531.12233774568,87369.11285849095,84226.89633660828,91594.80626621524,5689522.95195347,0.0,87481.30568628878,87326.92155646438,84199.48050610656,91532.09070100082,5686284.86960877,0.0,87355.1936686362,87200.83764435732,84101.86838188843,91365.54497664695,5678087.5884613525,0.0,87190.02442960467,87034.07623982559,83969.44588311078,91155.9084131259,5667351.5879243035,0.0,87096.30101564179,86926.27791421447,83859.98941306378,91060.03358069263,5661259.566016716,0.0
ZWE.3.5_1,7.0,90372.25927668603,90154.66656195317,87562.84428863731,93366.89076722537,4157123.9267275576,0.0,90498.4465437827,90279.26581060047,87681.11636110209,93503.07467388287,4162928.541014005,0.0,90617.04710515033,90395.54406978984,87782.37310906987,93639.03397153858,4168384.166836917,0.0,90795.5107944568,90570.11528204892,87943.2320741111,93835.20165275266,4176593.4965450116,0.0,91080.69691597778,90850.16032641297,88183.98274208096,94159.6263326691,4189712.058134978,0.0,91200.68088083268,90962.35959199813,88267.9125096009,94322.5115592,4195231.320518303,0.0,91239.83122408313,91003.62669527136,88300.35885832063,94368.0997363388,4197032.236307823,0.0,90909.6346921375,90683.95515149401,88026.31828984342,93977.8195219466,4181843.195838325,0.0,90857.3830812109,90639.31356023435,88002.3255906898,93902.75122771686,4179439.6217357004,0.0,90705.93555090034,90494.09853698236,87880.59030447356,93719.17345208534,4172473.035341415,0.0,90500.89803174936,90288.82560083276,87704.7871210611,93485.86895573065,4163041.309460472,0.0,90390.78817369547,90171.27354097448,87576.48895355496,93390.64063032267,4157976.255989991,0.0
ZWE.3.6_1,8.0,88091.58034819196,87914.22338869033,84704.05117226558,92487.23336466539,1938014.7676602232,0.0,88213.36102511297,88035.69371329155,84823.30950093652,92620.0867231593,1940693.942552485,0.0,88321.13024891891,88145.10338220447,84911.62183807847,92745.10867945275,1943064.865476216,0.0,88485.88791891575,88309.2389690252,85066.36214479535,92929.49912303324,1946689.5342161462,0.0,88740.64891863598,88563.56548800724,85276.72685968629,93241.5617097932,1952294.276209992,0.0,88826.01102780418,88650.0002663208,85328.71524418904,93364.02579260149,1954172.2426116918,0.0,88860.13964441912,88682.22093239066,85346.52594144977,93415.97853642674,1954923.0721772213,0.0,88584.59681995084,88401.31556185828,85128.0875333933,93090.56633709787,1948861.1300389185,0.0,88548.25330620607,88363.28769777624,85099.00384570776,93028.65661981217,1948061.5727365338,0.0,88419.46018436992,88232.04009098676,84994.36642278069,92872.30165689973,1945228.1240561388,0.0,88232.79532870193,88050.40175460311,84849.32322901032,92626.61779343335,1941121.4972314425,0.0,88113.17219513028,87933.09091352415,84735.71789089832,92517.93403855027,1938489.7882928662,0.0
ZWE.3.7_1,9.0,87644.88753066053,87422.00674004809,81926.5117069336,93756.106348239,4119309.713941045,0.0,87773.77839106966,87550.31035433059,82036.76485810286,93897.05012510519,4125367.5843802737,0.0,87863.06879185092,87633.93792391183,82108.18593015187,94003.56483000053,4129564.233216994,0.0,88029.41956211597,87800.93632119102,82247.17200891838,94187.09667453427,4137382.7194194505,0.0,88277.18212934108,88042.84149179186,82418.1755756451,94523.00035299423,4149027.56007903,0.0,88347.71028784533,88108.34313079788,82439.91602332285,94641.09583784,4152342.3835287313,0.0,88375.5041967653,88133.50501639304,82449.25184834616,94693.01306434485,4153648.6972479685,0.0,88131.95853583301,87898.65191486447,82281.08392519018,94365.44511268787,4142202.0511841513,0.0,88079.79259757343,87845.08160253447,82276.61839778553,94263.56426191251,4139750.252085951,0.0,87956.55442430117,87723.4301696841,82201.49550629266,94090.27298048687,4133958.057942155,0.0,87777.49010079264,87551.71949365412,82082.66113716409,93835.46607059447,4125542.0347372536,0.0,87687.62497519428,87468.91395243049,81956.25603852702,93797.328545931,4121318.3738341313,0.0
ZWE.4.1_1,10.0,88339.96132507436,88346.3845438656,87143.25806616113,89566.98447322902,1855139.1878265613,0.0,88460.34475191275,88463.61738340242,87264.66817569817,89694.04344539807,1857667.2397901681,0.0,88555.68971440062,88562.10468967455,87355.08487541704,89789.17615906305,1859669.4840024128,0.0,88720.00148264025,88724.33525369332,87517.93627526611,89958.18401398553,1863120.0311354448,0.0,88977.87010882645,88983.08965237149,87757.07077444336,90232.87389575098,1868535.272285356,0.0,89057.37122351883,89060.18963244096,87826.58636036843,90324.62062121864,1870204.795693896,0.0,89079.96043102538,89081.89675646159,87846.72474062645,90352.03718651236,1870679.1690515329,0.0,88820.1593655036,88824.50946637086,87602.65536427805,90074.27595038778,1865223.346675576,0.0,88743.48145892775,88750.72077208641,87533.96145830027,89987.31382131553,1863613.1106374827,0.0,88610.61786611314,88615.37307879537,87415.52215766639,89844.57348541194,1860822.975188376,0.0,88435.00718110215,88437.91018894476,87254.17300584313,89654.25523911571,1857135.150803145,0.0,88377.93132091267,88379.87952022646,87184.41699327216,89608.88694184358,1855936.5577391663,0.0
