GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1.1_1,1.0,6.524115038995363e-05,6.181609156553641e-05,2.0911835996945552e-05,0.0001024032439030776,0.0003914469023397218,0.0,0.00015203217999304556,0.00012946273383672877,3.1600952693835404e-05,0.0002746775151156639,0.0009121930799582732,0.0,7.728555786693045e-06,8.242511400701407e-06,4.883007698433065e-06,9.42415600845709e-06,4.637133472015827e-05,0.0,2.5302762294374364e-06,2.182538660736705e-06,1.990480481398049e-06,3.452714564249065e-06,1.518165737662462e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0404784579564185e-06,1.0819500745284945e-06,0.0,1.990480481398049e-06,6.242870747738511e-06,0.0,5.397957480393872e-07,1.920581793386559e-07,0.0,1.4622340828510156e-06,3.238774488236322e-06,0.0,4.1868470236194685e-06,3.7365030071905694e-06,1.990480481398049e-06,6.416054943904789e-06,2.5121082141716808e-05,0.0,2.020298183804969e-05,1.141161805934307e-05,6.873488179838702e-06,5.9156032169619176e-05,0.00012121789102829808,0.0,0.0009420577897121287,0.000988712330281082,0.00035299244643519437,0.0013595883931053314,0.0056523467382727744,0.0
ZWE.2.1_1,2.0,0.0006948906114154515,0.0006719391982143945,0.0005600307737610012,0.0008535389541316473,0.00486423427990816,0.0,0.0007200624704770634,0.0006886517297235565,0.0005695677061967468,0.0008833021707646137,0.005040437293339444,0.0,7.408605048535654e-06,7.368948042961383e-06,4.7561019337969e-06,1.0129695813802434e-05,5.186023533974958e-05,0.0,7.601251355523703e-06,7.719031747254423e-06,6.773246685425926e-06,7.961921925606075e-06,5.320875948866592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111640871601013e-06,1.0889617081209378e-06,0.0,1.990480481398049e-06,7.781486101207093e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9997736926359e-05,4.5457254195784886e-05,1.834518155057196e-05,8.612296714291507e-05,0.00034998415848451296,0.0,1.1617896705337798e-05,1.1942882888402173e-05,9.921714830947084e-06,1.2589008065160996e-05,8.132527693736459e-05,0.0,0.0003163045133501868,0.0003173830679891826,0.00023987531420600186,0.0003641943323907882,0.0022141315934513088,0.0
ZWE.3.1_1,3.0,0.00018902721735733483,0.00017049553510251717,9.977329309971584e-05,0.0003993783933935474,0.008506224781080068,0.0,0.00015911634166359634,0.00013458033599637894,2.757125643448369e-05,0.0004443324717658429,0.007160235374861834,0.0,2.067595168643248e-05,8.12906327250811e-06,1.990480481398049e-06,9.026023066283068e-05,0.0009304178258894618,0.0,1.8451032089147186e-05,6.414454316312494e-06,1.990480481398049e-06,8.563764950946324e-05,0.0008302964440116233,0.0,1.3051325162918105e-05,0.0,0.0,7.422531560858839e-05,0.0005873096323313147,0.0,1.3941316977485749e-05,1.990480481398049e-06,0.0,7.223483512719034e-05,0.0006273592639868588,0.0,1.1157103996488667e-05,0.0,0.0,6.462695872933281e-05,0.0005020696798419904,0.0,1.0956954151981337e-05,1.990480481398049e-06,0.0,5.979259349291904e-05,0.0004930629368391601,0.0,9.835781358033127e-06,1.406646835039334e-06,0.0,5.406888005732125e-05,0.0004426101611114908,0.0,1.1997204759000815e-05,3.9809609627960985e-06,1.990480481398049e-06,5.2967747775091606e-05,0.0005398742141550368,0.0,2.0251114496927828e-05,1.2717878239009102e-05,7.820739989794326e-06,6.135493977729156e-05,0.0009113001523617523,0.0,0.0009586472060296313,0.0007934646082658109,0.00013515445852484517,0.002461760758735804,0.04313912427133342,0.0
ZWE.3.2_1,4.0,0.0006063150465188831,0.0003854626271303584,0.00013322682511161853,0.0016787706329597948,0.01758313634904761,0.0,0.000807262971989614,0.0005130297245374454,1.5918045935591633e-05,0.002009006480986885,0.023410626187698805,0.0,3.799672895338458e-05,1.1586076250382287e-05,3.116593649242382e-06,0.00022703908889449399,0.0011019051396481527,0.0,4.3918836678425824e-05,1.1418702486707573e-05,2.1623323490988627e-06,0.00022862010864970898,0.0012736462636743489,0.0,1.372050083483627e-05,8.862651343652351e-07,0.0,0.0001052299342971216,0.0003978945242102518,0.0,1.406365604349986e-05,3.573087001980458e-06,0.0,9.372143243607259e-05,0.0004078460252614959,0.0,8.488038119004027e-06,8.862651343652351e-07,0.0,6.123197924908293e-05,0.0002461531054511168,0.0,8.80249195287651e-06,1.8231067177270184e-06,0.0,5.7682849561493516e-05,0.0002552722666334188,0.0,8.341550850794797e-06,1.8231067177270184e-06,0.0,6.29793418841765e-05,0.00024190497467304912,0.0,1.6677502732360478e-05,9.881991861063035e-06,2.3581970751340288e-06,5.368465232234496e-05,0.00048364757923845383,0.0,0.00019526327009920504,7.708875826808025e-05,6.558922713540989e-06,0.0006276855241535715,0.005662634832876947,0.0,0.0014961920115142634,0.0013423435167426142,0.00023977542247215566,0.0036150442409883694,0.043389568333913636,0.0
ZWE.3.3_1,5.0,0.00034271897823624856,0.00022290984630921328,1.0980542594340643e-05,0.0013311561184279322,0.014736916064158688,0.0,0.00047711784448750216,0.00014197136546465765,1.0527263342552054e-05,0.0018395418128902786,0.020516067312962592,0.0,1.186346999155072e-05,2.508953566462132e-06,0.0,0.00016640933242314718,0.000510129209636681,0.0,1.4706638438482873e-05,5.3082770121816205e-06,1.990480481398049e-06,0.00016059162057808368,0.0006323854528547637,0.0,4.123695907617239e-06,0.0,0.0,8.004139558405233e-05,0.00017731892402754126,0.0,5.597060279482589e-06,1.990480481398049e-06,0.0,6.859528900267981e-05,0.00024067359201775126,0.0,2.72015114157664e-06,0.0,0.0,4.574147242917455e-05,0.00011696649908779551,0.0,3.722863811900199e-06,1.5275944338354172e-06,0.0,4.105896765387965e-05,0.00016008314391170858,0.0,3.889762724931704e-06,1.27142988907991e-06,0.0,4.503044417061458e-05,0.00016725979717206328,0.0,5.401518745301945e-06,4.202785431573806e-06,4.456753013253534e-07,3.113981631488335e-05,0.00023226530604798364,0.0,9.618800506422792e-05,6.133805697680149e-05,8.735567314006745e-06,0.0005136500172763039,0.0041360842177618,0.0,0.0010396081376729599,0.0006398696828156781,9.631310416343394e-05,0.002994140876644367,0.044703149919937284,0.0
ZWE.3.4_1,6.0,0.00015638581870066782,8.568090903588223e-05,1.67849801742276e-05,0.0009817388356658844,0.010165078215543407,0.0,0.0016993910131359242,0.0018204156104328188,2.919156616268361e-05,0.003729851109600912,0.11046041585383506,0.0,4.9457898492223225e-06,4.574706123539745e-06,0.0,1.489088428524354e-05,0.000321476340199451,0.0,5.425189809723735e-06,4.7137842507289116e-06,1.990480481398049e-06,1.3207080373325438e-05,0.0003526373376320428,0.0,8.260366860844494e-07,1.0411704313257238e-07,0.0,3.77115774929568e-06,5.3692384595489204e-05,0.0,1.5284836647884124e-06,1.990480481398049e-06,0.0,3.77115774929568e-06,9.935143821124681e-05,0.0,7.572617129867416e-07,0.0,0.0,3.3077490363492216e-06,4.922201134413819e-05,0.0,6.845791232731212e-07,0.0,0.0,3.3077490363492216e-06,4.4497643012752884e-05,0.0,6.253847841849098e-07,0.0,0.0,2.297157050877996e-06,4.065001097201913e-05,0.0,2.346591351283085e-05,1.5640808165477634e-05,3.9809609627960985e-06,7.295416945763421e-05,0.001525284378334005,0.0,3.441183686961747e-05,1.0910290256284386e-05,1.990480481398049e-06,0.00016158223097673054,0.002236769396525135,0.0,0.0012775385135389485,0.0012463553427073655,8.865832718690149e-05,0.0029996013847823693,0.08304000338003162,0.0
ZWE.3.5_1,7.0,0.00015185359548770908,0.00015706555958881286,1.4960053981296759e-05,0.0004102675858864706,0.006985265392434619,0.0,0.00014520328725696442,6.437068232950482e-05,1.396696674891365e-05,0.0007631307127962161,0.006679351213820362,0.0,9.813917936430015e-06,5.651562581020229e-06,2.8914656637736937e-06,3.6954150007483e-05,0.00045144022507578077,0.0,8.242281413540359e-06,4.1381599798830295e-06,1.990480481398049e-06,3.281501879378147e-05,0.0003791449450228565,0.0,3.929162701139563e-06,0.0,0.0,2.669575792863849e-05,0.00018074148425241987,0.0,5.7459697017417745e-06,2.1941279687894975e-06,0.0,2.6537587677740608e-05,0.0002643146062801217,0.0,3.366271598021262e-06,0.0,0.0,2.2398456464039084e-05,0.00015484849350897806,0.0,3.714329195390136e-06,1.0281277302740096e-06,0.0,2.133027595363112e-05,0.00017085914298794623,0.0,3.35122977919013e-06,6.177913129601596e-07,0.0,1.9181625221335182e-05,0.00015415656984274598,0.0,1.0310358568249634e-05,7.78748468987109e-06,2.114773518432085e-06,2.743585923022055e-05,0.0004742764941394832,0.0,1.325204301619817e-05,1.0011960093218418e-05,5.9714414442080255e-06,3.840268088469794e-05,0.0006095939787451157,0.0,0.0008167672288895581,0.0007162775164732324,0.00012968668696841122,0.002239855178225266,0.03757129252891967,0.0
ZWE.3.6_1,8.0,0.001394559381921301,0.0011328787703851072,0.0002261669838811723,0.0030608296303312825,0.030680306402268626,0.0,0.002585201968073421,0.002276659229091082,0.0003667986956257625,0.006324094655407646,0.05687444329761525,0.0,0.00026912770440211083,9.123092749813158e-05,6.294251832736263e-06,0.0008546168965925735,0.005920809496846438,0.0,0.00017507170739830986,8.063015867542342e-05,5.221010675024161e-06,0.00045821438442516306,0.0038515775627628174,0.0,8.957322934968528e-05,3.9408600052153086e-05,0.0,0.00024182593035729916,0.001970611045693076,0.0,6.551038884210729e-05,3.301832635111858e-05,3.1244597166280536e-06,0.00016552718551039573,0.0014412285545263605,0.0,4.379096389301364e-05,2.298722353674148e-05,0.0,0.0001086677837256301,0.0009634012056463,0.0,4.06234328673755e-05,2.109544629886656e-05,1.133979235229379e-06,0.00011465418453139268,0.0008937155230822609,0.0,3.020010284619651e-05,1.5998402596394405e-05,1.133979235229379e-06,8.769516199105991e-05,0.0006644022626163232,0.0,3.49847519532169e-05,2.3750043487018922e-05,9.294741689170327e-06,8.849003495181096e-05,0.0007696645429707717,0.0,4.845548964089878e-05,3.847639879815185e-05,9.673218485644592e-06,0.000110096906419984,0.0010660207720997732,0.0,0.0029785752668657905,0.003258435728898457,0.001437303302862342,0.0037749017591524334,0.06552865587104739,0.0
ZWE.3.7_1,9.0,0.0009396828924623578,0.0007862246880487779,0.00018086088707429192,0.002479693377623755,0.04416509594573082,0.0,0.0048177821378041115,0.004436105773395923,0.0018214895274087234,0.008410176579138583,0.2264357604767933,0.0,7.494751655794231e-05,5.3645861107449935e-06,1.990480481398049e-06,0.0006252117819954059,0.003522533278223288,0.0,6.320374033090987e-05,9.452204686824853e-06,1.9850601757075066e-08,0.00043230395116494616,0.002970575795552763,0.0,2.7284774064460473e-05,1.3498887680161676e-06,0.0,0.00019903440066627048,0.0012823843810296422,0.0,1.936341601858219e-05,1.3498887680161676e-06,0.0,0.00013155764836024085,0.0009100805528733627,0.0,1.3879033618647241e-05,1.2045225461032098e-06,0.0,9.049249211630332e-05,0.0006523145800764203,0.0,1.1509096651038451e-05,1.3063507903566884e-06,0.0,7.843988936658392e-05,0.0005409275425988071,0.0,9.071882694811184e-06,1.2744269496373434e-06,0.0,5.9766638159421936e-05,0.0004263784866561257,0.0,1.4172311873133627e-05,5.6377311096454886e-06,1.9485820247220485e-06,6.612446234924632e-05,0.0006660986580372803,0.0,1.9372049290305263e-05,8.357841902377797e-06,0.0,8.269145158733984e-05,0.0009104863166443476,0.0,0.0011463826705460185,0.00046604951420467814,4.634426422365743e-05,0.003812597947789397,0.05387998551566287,0.0
ZWE.4.1_1,10.0,0.00022855495571162608,0.00021182385603765144,0.000138866013249253,0.000388231828126544,0.004799654069944147,0.0,0.0009511559028566588,0.000933964495190052,0.0007072722396118631,0.001201742578699222,0.01997427395998983,0.0,4.871565511928828e-06,3.9809609627960985e-06,2.2296793128265656e-06,1.5053432374892291e-05,0.00010230287575050541,0.0,4.51044067975835e-06,3.5212423501350348e-06,1.990480481398049e-06,1.3953623242691278e-05,9.471925427492536e-05,0.0,1.4498079023550897e-06,2.557892487666507e-07,0.0,9.972662279892405e-06,3.044596594945688e-05,0.0,2.129194254434692e-06,1.522241847736989e-06,0.0,8.872853147691396e-06,4.471307934312852e-05,0.0,1.1031450653959982e-06,2.2424598164320407e-07,0.0,6.8823726662883776e-06,2.3166046373315962e-05,0.0,1.0505306749309951e-06,2.2424598164320407e-07,0.0,6.002480935002058e-06,2.206114417355089e-05,0.0,8.950695609585928e-07,2.2424598164320407e-07,0.0,4.902671802807181e-06,1.879646078013045e-05,0.0,6.674131431636057e-06,5.486162768543731e-06,3.9809609627960985e-06,2.531321169758125e-05,0.00014015676006435721,0.0,4.794585368294319e-06,4.806240309880875e-06,3.1631722811752763e-06,7.058367231618367e-06,0.00010068629273418068,0.0,0.00034632921826796965,0.00029174460148619747,0.00021347593234076823,0.0008037980259602871,0.007272913583627362,0.0
